turbine,datetime,horizon_h,lead_day,power_pred,power_baseline,power_lgb
1,2026-02-06 00:00:00,1,1,0.5375430621819465,0.556899641577061,0.5375430621819465
1,2026-02-06 01:00:00,2,1,0.5138088615134196,0.49505098039215684,0.5138088615134196
1,2026-02-06 02:00:00,3,1,0.3485989931503133,0.43691570881226055,0.3485989931503133
1,2026-02-06 03:00:00,4,1,0.36471955948654483,0.42966985645933015,0.36471955948654483
1,2026-02-06 04:00:00,5,1,0.27785633392098835,0.3313022113022113,0.27785633392098835
1,2026-02-06 05:00:00,6,1,0.20520741650363764,0.2595211187214612,0.20520741650363764
1,2026-02-06 06:00:00,7,1,0.09839709936201928,0.13767622950819672,0.09839709936201928
1,2026-02-06 07:00:00,8,1,0.09172963641187136,0.13171455938697318,0.09172963641187136
1,2026-02-06 08:00:00,9,1,0.0821417017154083,0.1963528059990324,0.0821417017154083
1,2026-02-06 09:00:00,10,1,0.10061577154885412,0.14688017598343686,0.10061577154885412
1,2026-02-06 10:00:00,11,1,0.12618404151348075,0.11388210961737331,0.12618404151348075
1,2026-02-06 11:00:00,12,1,0.3053671524295738,0.27782441977800204,0.3053671524295738
1,2026-02-06 12:00:00,13,1,0.49707299726126875,0.6137013669821241,0.49707299726126875
1,2026-02-06 13:00:00,14,1,0.8117034141311391,0.8586587771203154,0.8117034141311391
1,2026-02-06 14:00:00,15,1,0.9638878932720532,0.9273042929292927,0.9638878932720532
1,2026-02-06 15:00:00,16,1,0.9841513313749088,0.9320241090146749,0.9841513313749088
1,2026-02-06 16:00:00,17,1,0.9881858154114159,0.9320241090146749,0.9881858154114159
1,2026-02-06 17:00:00,18,1,0.9883561913335669,0.9439851851851851,0.9883561913335669
1,2026-02-06 18:00:00,19,1,0.9882921464187628,0.9439851851851851,0.9882921464187628
1,2026-02-06 19:00:00,20,1,0.9882883682884916,0.9439851851851851,0.9882883682884916
1,2026-02-06 20:00:00,21,1,0.9722528497362488,0.9320241090146749,0.9722528497362488
1,2026-02-06 21:00:00,22,1,0.9555700979530368,0.9273042929292927,0.9555700979530368
1,2026-02-06 22:00:00,23,1,0.9750854974111061,0.8586587771203154,0.9750854974111061
1,2026-02-06 23:00:00,24,1,0.900358318649338,0.7697679924242425,0.900358318649338
1,2026-02-07 00:00:00,25,2,0.9353993711987135,0.804693520140105,0.9353993711987135
1,2026-02-07 01:00:00,26,2,0.7852512414147469,0.7440221833041447,0.7852512414147469
1,2026-02-07 02:00:00,27,2,0.7012854679092412,0.6578985507246379,0.7012854679092412
1,2026-02-07 03:00:00,28,2,0.5052474845226376,0.4921100775193798,0.5052474845226376
1,2026-02-07 04:00:00,29,2,0.3570986828137808,0.367085279547063,0.3570986828137808
1,2026-02-07 05:00:00,30,2,0.2732344895208016,0.29750665946724253,0.2732344895208016
1,2026-02-07 06:00:00,31,2,0.14917499748070778,0.17351542877646217,0.14917499748070778
1,2026-02-07 07:00:00,32,2,0.036100196191485696,0.08082799145299144,0.036100196191485696
1,2026-02-07 08:00:00,33,2,0.020903827429566584,0.059183574879227055,0.020903827429566584
1,2026-02-07 09:00:00,34,2,0.014995269757281141,0.07616423061307348,0.014995269757281141
1,2026-02-07 10:00:00,35,2,0.03214666014581937,0.11388210961737331,0.03214666014581937
1,2026-02-07 11:00:00,36,2,0.09746707595733467,0.17351542877646217,0.09746707595733467
1,2026-02-07 12:00:00,37,2,0.12995338741728485,0.1963528059990324,0.12995338741728485
1,2026-02-07 13:00:00,38,2,0.1615526785159714,0.23019607843137255,0.1615526785159714
1,2026-02-07 14:00:00,39,2,0.16497040351129064,0.21644444444444438,0.16497040351129064
1,2026-02-07 15:00:00,40,2,0.13820028015895153,0.17351542877646217,0.13820028015895153
1,2026-02-07 16:00:00,41,2,0.09322654674189626,0.11921553497942389,0.09322654674189626
1,2026-02-07 17:00:00,42,2,0.06609062901016005,0.06703682393555811,0.06609062901016005
1,2026-02-07 18:00:00,43,2,0.12953535095757726,0.169778156996587,0.12953535095757726
1,2026-02-07 19:00:00,44,2,0.22823839722872527,0.29750665946724253,0.22823839722872527
1,2026-02-07 20:00:00,45,2,0.4227968899287663,0.4828245614035086,0.4227968899287663
1,2026-02-07 21:00:00,46,2,0.5129257995297497,0.5565100806451612,0.5129257995297497
1,2026-02-07 22:00:00,47,2,0.5612378745970332,0.6137013669821241,0.5612378745970332
1,2026-02-07 23:00:00,48,2,0.5824020597598135,0.6578985507246379,0.5824020597598135
